rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
1,0.02,random_forest,0.1375921375921376,510.6660735607147,198,0.09477659477659478,0,1724665100.7829897,1724665611.5195289,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
2,0.02,random_forest,0.13779688779688778,500.04873538017273,1999,0.08892528892528892,0,1724677079.8756368,1724677580.9974024,100.0,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Local Search
3,0.04,random_forest,0.13783783783783787,592.5575044155121,179,0.08788333788333788,0,1724664979.2377412,1724665571.8835402,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search (sorted)
4,0.02,random_forest,0.13832923832923832,571.090722322464,352,0.1106060606060606,0,1724666274.5321198,1724666845.6872492,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
5,0.02,random_forest,0.13845208845208845,499.74635314941406,479,0.09651469651469652,0,1724667171.441387,1724667671.2477934,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
6,0.04,random_forest,0.1384930384930385,492.91052293777466,1407,0.10181090181090183,0,1724673468.177308,1724673961.1631198,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
7,0.06,random_forest,0.13865683865683867,527.7288191318512,289,0.10225225225225225,0,1724665990.0598128,1724666517.832651,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search (sorted)
8,0.04,random_forest,0.13865683865683867,539.0112221240997,1789,0.10951405951405953,0,1724675922.0296292,1724676461.1139028,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
9,0.02,random_forest,0.13873873873873874,569.6542446613312,1919,0.07459732459732461,0,1724676662.359102,1724677232.082549,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search
10,0.02,random_forest,0.138984438984439,37.601447105407715,183,0.10402675402675403,0,1724664663.3280168,1724664700.960208,6.25,StatusType.SUCCESS,[],['no_preprocessing'],none,Random Search (sorted)
11,0.04,random_forest,0.13980343980343982,363.326776266098,354,0.1102147602147602,0,1724666302.2835114,1724666665.6760914,100.0,StatusType.SUCCESS,[],['no_preprocessing'],none,Local Search
12,0.02,random_forest,0.14950859950859952,17.027219533920288,2092,0.12662662662662666,0,1724677563.034599,1724677581.0927486,100.0,StatusType.DONOTADVANCE,[],['no_preprocessing'],none,Random Search
