model,cv_score,model_info
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=False, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)",-2908306174054.992,"{'generation': 3, 'mutation_count': 2, 'crossover_count': 0, 'predecessor': ('ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': -2908306174054.992}"
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=False, ExtraTreesRegressor__max_features=0.8, ExtraTreesRegressor__min_samples_leaf=17, ExtraTreesRegressor__min_samples_split=5, ExtraTreesRegressor__n_estimators=100)",-2915362066050.386,"{'generation': 5, 'mutation_count': 4, 'crossover_count': 1, 'predecessor': ('ExtraTreesRegressor(input_matrix, ExtraTreesRegressor__bootstrap=False, ExtraTreesRegressor__max_features=0.8, ExtraTreesRegressor__min_samples_leaf=17, ExtraTreesRegressor__min_samples_split=5, ExtraTreesRegressor__n_estimators=100)', 'ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.45, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)'), 'operator_count': 2, 'internal_cv_score': -2915362066050.386}"
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.45, ExtraTreesRegressor__min_samples_leaf=1, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)",-2917025124545.4224,"{'generation': 4, 'mutation_count': 3, 'crossover_count': 0, 'predecessor': ('ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.45, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': -2917025124545.4224}"
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)",-2917472673202.1934,"{'generation': 2, 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('ExtraTreesRegressor(input_matrix, ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': -2917472673202.1934}"
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=False, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=6, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)",-2919991889499.9775,"{'generation': 5, 'mutation_count': 4, 'crossover_count': 1, 'predecessor': ('ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=False, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)', 'ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.15000000000000002, ExtraTreesRegressor__min_samples_leaf=6, ExtraTreesRegressor__min_samples_split=15, ExtraTreesRegressor__n_estimators=100)'), 'operator_count': 2, 'internal_cv_score': -2919991889499.9775}"
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.45, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)",-2922241589670.2607,"{'generation': 3, 'mutation_count': 2, 'crossover_count': 0, 'predecessor': ('ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': -2922241589670.2607}"
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.5, RandomForestRegressor__min_samples_leaf=12, RandomForestRegressor__min_samples_split=18, RandomForestRegressor__n_estimators=100)",-2937631823253.848,"{'generation': 5, 'mutation_count': 2, 'crossover_count': 1, 'predecessor': ('RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.5, RandomForestRegressor__min_samples_leaf=17, RandomForestRegressor__min_samples_split=18, RandomForestRegressor__n_estimators=100)',), 'operator_count': 1, 'internal_cv_score': -2937631823253.848}"
"RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.5, RandomForestRegressor__min_samples_leaf=13, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)",-2941142672963.709,"{'generation': 4, 'mutation_count': 1, 'crossover_count': 0, 'predecessor': ('RandomForestRegressor(input_matrix, RandomForestRegressor__bootstrap=True, RandomForestRegressor__max_features=0.5, RandomForestRegressor__min_samples_leaf=20, RandomForestRegressor__min_samples_split=13, RandomForestRegressor__n_estimators=100)',), 'operator_count': 1, 'internal_cv_score': -2941142672963.709}"
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=False, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=2, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)",-2943550547422.236,"{'generation': 5, 'mutation_count': 3, 'crossover_count': 0, 'predecessor': ('ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=False, ExtraTreesRegressor__max_features=0.7000000000000001, ExtraTreesRegressor__min_samples_leaf=11, ExtraTreesRegressor__min_samples_split=19, ExtraTreesRegressor__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': -2943550547422.236}"
"ExtraTreesRegressor(RidgeCV(input_matrix), ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.15000000000000002, ExtraTreesRegressor__min_samples_leaf=1, ExtraTreesRegressor__min_samples_split=15, ExtraTreesRegressor__n_estimators=100)",-2943616306182.3833,"{'generation': 5, 'mutation_count': 3, 'crossover_count': 0, 'predecessor': ('ExtraTreesRegressor(input_matrix, ExtraTreesRegressor__bootstrap=True, ExtraTreesRegressor__max_features=0.15000000000000002, ExtraTreesRegressor__min_samples_leaf=1, ExtraTreesRegressor__min_samples_split=15, ExtraTreesRegressor__n_estimators=100)',), 'operator_count': 2, 'internal_cv_score': -2943616306182.3833}"
